Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Belgium,2018,55.3,Male
Belgium,2018,23.5,Female
Belgium,2018,26.1,Female
Belgium,2018,24.4,Female
Belgium,2018,26.8,Female
Belgium,2018,27.9,Female
Belgium,2018,28.4,Female
Belgium,2018,19.2,Female
Belgium,2018,22.6,Female
Bulgaria,2008,11.6,Male
Bulgaria,2008,15.5,Male
Bulgaria,2008,15.6,Male
Bulgaria,2008,57.9,Male
Bulgaria,2008,62.2,Male
Bulgaria,2008,64.4,Male
Bulgaria,2008,44,Female
Bulgaria,2008,46.8,Female
Bulgaria,2008,46.3,Female
Bulgaria,2014,11.3,Female
Bulgaria,2014,14.2,Female
Bulgaria,2014,11.9,Female
Bulgaria,2014,39.1,Total
Bulgaria,2014,39.2,Total
Bulgaria,2014,41.2,Total
Bulgaria,2014,32.7,Female
Bulgaria,2014,32.6,Female
Bulgaria,2014,34.4,Female
Bulgaria,2019,50.6,Total
Bulgaria,2019,54,Total
Bulgaria,2019,54.8,Total
Bulgaria,2019,46.3,Male
Bulgaria,2019,46.7,Male
Bulgaria,2019,48.8,Male
Bulgaria,2019,11.5,Total
Bulgaria,2019,14.8,Total
Bulgaria,2019,13.6,Total
Croatia,1975,5.4,Total
Croatia,1975,6.8,Total
Croatia,1975,7.7,Total
Croatia,1976,8.1,Total
Croatia,1976,10.3,Total
Croatia,1976,11.3,Total
Croatia,1977,12.1,Total
Croatia,1977,39.2,Male
Croatia,1977,42.2,Male
Croatia,1978,45.4,Male
Croatia,1978,46.3,Male
Croatia,1978,50.4,Male
Croatia,1979,50.9,Male
Croatia,1979,52.2,Male
Croatia,1979,24.9,Total
Croatia,1980,28.1,Total
Croatia,1980,29.4,Total
Croatia,1980,29.2,Total
Croatia,1981,30.8,Total
Croatia,1981,30.6,Total
Croatia,1981,30.8,Total
Croatia,1982,17.1,Female
Croatia,1982,21.2,Female
Croatia,1982,21.8,Female
Croatia,1983,20.9,Female
Croatia,1983,22.6,Female
Croatia,1983,22.7,Female
Croatia,1984,22.8,Female
Croatia,1984,21.9,Female
Croatia,1984,28.2,Female
Croatia,1985,29.2,Female
Croatia,1985,28.6,Female
Croatia,1985,32,Female
Croatia,1986,33,Female
Croatia,1986,33.8,Female
Croatia,1986,4.7,Female
Croatia,1987,7,Female
Croatia,1987,7.4,Female
Croatia,1987,7.7,Female
Croatia,1988,9.4,Female
Croatia,1988,10.2,Female
Croatia,1988,11,Female
Croatia,1989,33.1,Male
Croatia,1989,35.5,Male
Croatia,1989,37.5,Male
Croatia,1990,37.8,Male
Croatia,1990,39.2,Male
Croatia,1990,38.6,Male
Croatia,1991,38.9,Male
Croatia,1991,30.3,Total
Croatia,1991,34.9,Total
Croatia,1992,37.1,Total
Croatia,1992,37.3,Total
Croatia,1992,41,Total
Croatia,1993,41.8,Total
Croatia,1993,42.9,Total
Croatia,1993,6.1,Male
Croatia,1994,6.7,Male
Croatia,1994,7.9,Male
Croatia,1994,8.6,Male
Croatia,1995,11.2,Male
Croatia,1995,12.3,Male
Croatia,1995,13.2,Male
Croatia,1996,42,Female
Croatia,1996,46,Female
Croatia,1996,49,Female
Croatia,1997,49,Female
Croatia,1997,40.5,Female
Croatia,1997,41.4,Female
Croatia,1998,43.9,Female
Croatia,1998,46.7,Female
Croatia,1998,47.2,Female
Croatia,1999,48.2,Female
Croatia,1999,49.3,Female
Croatia,1999,35,Male
Croatia,2000,42,Male
Croatia,2000,41,Male
Croatia,2000,40,Male
Croatia,2001,14,Male
Croatia,2001,18,Male
Croatia,2001,23,Male
Croatia,2002,21,Male
Croatia,2002,28.3,Female
Croatia,2002,29.3,Female
Croatia,2003,30.4,Female
Croatia,2003,30.7,Female
Croatia,2003,28.9,Female
Croatia,2004,30,Female
Croatia,2004,31.8,Female
Croatia,2004,15,Female
Croatia,2005,17,Female
Croatia,2005,21,Female
Croatia,2005,21,Female
Croatia,2006,49,Male
Croatia,2006,60,Male
Croatia,2006,64,Male
Croatia,2007,61,Male
Croatia,2007,10.4,Male
Croatia,2007,10.4,Male
Croatia,2008,15,Male
Croatia,2008,13.4,Male
Croatia,2008,18.4,Male
Croatia,2009,19.3,Male
Croatia,2009,21.2,Male
Croatia,2009,27,Female
Croatia,2010,29,Female
Croatia,2010,28,Female
Croatia,2010,28,Female
Croatia,2011,14,Total
Croatia,2011,17,Total
Croatia,2011,22,Total
Croatia,2012,21,Total
Croatia,2012,54.5,Male
Croatia,2012,50.7,Male
Croatia,2013,56.9,Male
Croatia,2013,55.9,Male
Croatia,2013,63.6,Male
Croatia,2014,63.2,Male
Croatia,2014,68.1,Male
Croatia,2014,35.8,Total
Croatia,2014,34.5,Total
Croatia,2014,36,Total
Croatia,2014,36.2,Total
Croatia,2014,36.8,Total
Croatia,2014,36.7,Total
Croatia,2014,39.1,Total
Croatia,2014,31,Total
Croatia,2014,35,Total
Croatia,2014,34,Total
Croatia,2015,34,Total
Croatia,2015,47.1,Total
Croatia,2015,45.8,Total
Croatia,2016,50.2,Total
Croatia,2016,51.1,Total
Croatia,2016,55.1,Total
Croatia,2019,55.4,Total
Croatia,2019,58.4,Total
Croatia,2019,45,Total
Croatia,2019,52,Total
Croatia,2019,56,Total
Croatia,2019,55,Total
Croatia,2019,11.3,Total
Croatia,2019,11.3,Total
Croatia,2019,14.2,Total
Czechia,1993,14.8,Total
Czechia,1993,18.3,Total
Czechia,1993,18.7,Total
Czechia,1993,19.3,Total
Czechia,1993,12.2,Female
